Feature,Importância
sc_DOSs_mean,0.034582075080796484
sc_DOSs_min,0.03302967377377269
sc_bands_mean,0.030071266863011984
sc_bands_max,0.02981561042741761
sc_bands_min,0.02885891770285815
sc_bands_std,0.02846012389124236
sc_DOSs_max,0.028327013297381687
fermi_line_std,0.02668410836112336
position_3_2,0.02562266097103817
fermi_line_mean,0.025369493794791108
fermi_line_max,0.024703403617422494
sc_DOSs_std,0.024684012933798776
fermi_line_size,0.024430795441218303
fermi_line_shape_1,0.024201893086224283
cell_0_0,0.02273066083006173
cell_1_1,0.02203697655234474
fermi_lens_shape_1,0.021520628005914876
recip_latt_1_1,0.021309728707577975
position_2_0,0.021212064142845537
fermi_line_min,0.02100500681217444
